Quadrant,Utterance Number,Reference,Gesture Used,Object referenced,grammatical role
2,1,"Okay, so the very first thing we need is [a blue rectangular block].",N,New-Bl-Pr,NI
2,2,"Yeah. So [blue rec]... Like, I think, and then we'll need [a red one] like [that].",N,New-Bl-Pr,NI
2,2,"Yeah. So [blue rec]... Like, I think, and then we'll need [a red one] like [that].",N,New-Re-Pr,NI
2,2,"Yeah. So [blue rec]... Like, I think, and then we'll need [a red one] like [that].",DP,Q4-C13-Re-Rs,pobj
2,3,"So, just trying to describe actually, you know what, let's look for [a blue one] that's that size of [this one]. ",N,New-Bl-Pr,NI
2,3,"So, just trying to describe actually, you know what, let's look for [a blue one] that's that size of [this one]. ",DS,Q4-C11-Re-Pr,pobj
2,4,And we'll put [the blue one] just right straight underneath [that one].,IR,New-Bl-Pr,NI
2,4,And we'll put [the blue one] just right straight underneath [that one].,DS,Q4-C11-Re-Pr,NI
2,5,"And we need [two green bridges]. We've got [one] already, and [a blue cylinder].",N,"New-Gr-Ar1, New-Gr-Ar2, Q3-C11-Gr-Ar",dobj
2,5,"And we need [two green bridges]. We've got [one] already, and [a blue cylinder].",N,Q4-C12-Gr-Ar,NI
2,5,"And we need [two green bridges]. We've got [one] already, and [a blue cylinder].",N,"New-Bl-Cy, Q2-C32-Bl-Cy",NI
2,6,And [two little green squares].,N,"New-Gr-Cu1, New-Gr-Cu2",NI
2,7,And we got [one green square].,A,Q4-C11-Gr-Cu,dobj
2,8,Okay. Very nice. Perfect.,N,,
2,9,And then put [one of the little green squares] {points to object} right there.,N,Q4-C11-Gr-Cu,pobj
2,9,And then put [one of the little green squares] {points to object} right there.,DP,Q2-C32-Bl-Pr,NI
2,10,And you put [another little one] right on top of [it].,N,New-Gr-Cu2,NI
2,10,And you put [another little one] right on top of [it].,DS,Q4-C11-Gr-Cu,pobj
2,11,"And then [two yellow squares], right in [those two].",N,"Q4-C33-Ye-Cu, New-Ye-Cu",NI
2,11,"And then [two yellow squares], right in [those two].",DS,"Q4-C11-Gr-Cu, Q4-C11-Re-Pr",NI
2,12,And we also need [another one] of [these green rectangles] if you think of it.,N,New-Gr-Rl,NI
